"Name","test_exact_match","test_f1","Runtime","Notes","State","Tags","eval/loss","eval/runtime","eval/samples_per_second","eval/steps_per_second","test_tydiqa_exact_match","test_tydiqa_f1","test_xquad_exact_match","test_xquad_f1","train/epoch","train/global_step","train/learning_rate","train/loss","train/total_flos","train/train_loss","train/train_runtime","train/train_samples_per_second","train/train_steps_per_second","val_exact_match","val_f1"
"th_wordnet_aug_1.0","39.57566193231632","54.099859187434944","3011","-","finished","","2.3645248413085938","5.105","441.916","3.526","41.25580367013045","55.74421846574096","33.13559322033898","47.796946462200694","20","5640","0","0.1326","76607636381752320","0.790638661891856","2867.3967","125.842","1.967","51.32978723404256","62.94772364822569"
"th_wordnet_aug_0.9","40.29458179905313","54.295753500804","2871","-","finished","","2.3579392433166504","5.1034","442.058","3.527","42.029626354189695","56.117114543262325","33.644067796610166","47.31438401348409","20","5360","0","0.162","72777679169894400","0.8366832121094661","2727.1321","125.7","1.965","49.37943262411348","61.372919459446265"
"th_wordnet_aug_0.8","38.99701911274768","53.88952435492969","2732","-","finished","","2.198472023010254","5.1039","442.015","3.527","40.79151005969489","55.70930222018963","32.11864406779661","46.914223266311765","20","5080","0","0.1241","68947721958036480","0.8417386922310657","2589.0343","125.437","1.962","49.645390070921984","61.39051870376187"
"th_wordnet_aug_0.7","40.52253200070138","54.269615450114834","2596","-","finished","","2.1720616817474365","5.1066","441.779","3.525","42.383373866902495","55.979663338140526","33.389830508474574","47.714914943725866","20","4800","0","0.175","65117764746178560","0.9066738764444988","2455.6063","124.906","1.955","50.97517730496454","61.95226555697708"
"th_wordnet_aug_0.6","37.033140452393475","52.97521277731256","2459","-","finished","","2.220396041870117","5.1042","441.99","3.527","38.64691576387354","54.798005954958946","30.847457627118644","45.988353842996474","20","4520","0","0.1403","61287807534320640","0.8453334960262332","2320.3382","124.413","1.948","50.487588652482266","62.22577786710621"
"th_wordnet_aug_0.5","37.87480273540242","52.67271866328295","2313","-","finished","","2.052334785461426","5.1119","441.321","3.521","39.44284766747734","54.57812792516821","31.864406779661017","45.36918807726124","19.95","4220","0","0.1229","57318791454737280","0.8623299661970817","2175.7934","124.378","1.94","49.68971631205674","61.418747920446755"
"th_wordnet_aug_0.4","39.7334736103805","53.050482220022474","2174","-","finished","","2.08445143699646","5.1134","441.19","3.52","41.34424054830865","54.68818485928574","33.559322033898304","46.77308473071186","19.95","3940","0","0.1738","53490108064568450","0.9039631432083052","2038.8332","123.885","1.932","50.66489361702128","62.222471255391206"
"th_wordnet_aug_0.3","38.80413817289146","53.735710014547344","2029","-","finished","","1.9650814533233645","5.1116","441.35","3.521","40.30510722971479","55.22083244163761","33.05084745762712","48.04316023681207","19.95","3660","0","0.2114","49661424674399620","0.9769111987671566","1900.2045","123.429","1.926","51.1081560283688","62.65233162355808"
"th_wordnet_aug_0.2","38.90934595826758","53.22635952523095","1896","-","finished","","1.9280798435211184","5.1099","441.497","3.523","40.50409020561574","55.076440719694894","32.79661016949152","46.13490423492656","19.94","3380","0","0.2209","45832741284230780","1.0091659907053208","1763.6275","122.758","1.917","49.645390070921984","61.36447665722548"
"th_wordnet_aug_0.1","37.78712958092232","52.77338761126321","1754","-","finished","","1.8606374263763428","5.1073","441.717","3.524","39.35441078929914","54.51221181962627","31.779661016949152","46.10838600581874","19.94","3100","0","0.2612","42004057894061950","1.084156430152155","1625.0496","122.126","1.908","50.22163120567376","62.11938126070777"
"th_thai2fit_aug_1.0","40.25951253726109","54.03418840730381","3010","-","finished","","2.446249723434448","5.1154","441.019","3.519","42.206500110546095","56.134348881598946","32.79661016949152","45.98416652151102","20","5640","0","0.117","76607636381752320","0.7658869391637491","2864.651","125.963","1.969","51.241134751773046","63.066269651080184"
"th_thai2fit_aug_0.9","39.27757320708399","54.140240136815024","2874","-","finished","","2.3396105766296387","5.1968","434.112","3.464","41.25580367013045","55.98570800825234","31.694915254237287","47.06646794824761","20","5360","0","0.1185","72777679169894400","0.7817087835340357","2727.7166","125.673","1.965","49.069148936170215","61.43474549604803"
"th_thai2fit_aug_0.8","39.89128528844468","54.07181885425611","2733","-","finished","","2.329728841781616","5.1075","441.704","3.524","41.808534158744195","55.763574429471085","32.54237288135593","47.58723371298799","20","5080","0","0.1489","68947721958036480","0.8231127956720787","2588.7546","125.45","1.962","51.019503546099294","62.515039759642434"
"th_thai2fit_aug_0.7","38.926880589163595","52.66348351027905","2591","-","finished","","2.2074825763702393","5.1073","441.723","3.524","40.99049303559585","54.69423783611792","31.016949152542377","44.87949892064527","20","4800","0","0.185","65117764746178560","0.8691164517402649","2451.0303","125.139","1.958","47.82801418439716","60.0929957971964"
"th_thai2fit_aug_0.6","35.963527967736276","51.00455204875664","2469","-","finished","","2.222698211669922","5.1095","441.527","3.523","37.49723634755693","52.7785427570084","30.084745762711865","44.204755461111425","20","4520","0","0.1614","61287807534320640","0.8628424610711832","2311.8928","124.867","1.955","47.6063829787234","60.133547440018134"
"th_thai2fit_aug_0.5","37.45397159389795","52.38634166633996","2330","-","finished","","2.100088596343994","5.1055","441.876","3.526","38.86800795931904","53.86433387446696","32.03389830508475","46.72112238044442","19.95","4220","0","0.1687","57318791454737280","0.918118975851773","2185.0366","123.851","1.931","49.02482269503546","60.662024407790696"
"th_thai2fit_aug_0.4","39.31264246887603","52.98734060370014","2360","-","finished","","2.0987534523010254","5.477","411.904","3.286","41.189476011496794","54.91474874640908","32.11864406779661","45.59948718889398","19.95","3940","0","0.166","53490108064568450","0.8930754453397645","2211.8567","114.194","1.781","49.46808510638298","60.788880508273344"
"th_thai2fit_aug_0.3","35.314746624583556","51.46963318202324","2124","-","finished","","2.0213987827301025","5.4142","416.686","3.325","36.30333849215123","52.78943197211207","31.52542372881356","46.41077731120108","19.95","3660","0","0.1903","49661424674399620","0.9396875965139252","1987.3246","118.018","1.842","48.537234042553195","60.88179053668403"
"th_thai2fit_aug_0.2","39.26003857618797","53.963585874951754","2031","-","finished","","1.9580532312393188","5.5014","410.075","3.272","40.99049303559585","55.73827605013125","32.6271186440678","47.16110819500649","19.94","3380","0","0.2072","45832741284230780","0.985700074596518","1893.4375","114.342","1.785","50.576241134751776","62.21471128876619"
"th_thai2fit_aug_0.1","37.55917937927406","52.70212620136714","1802","-","finished","","1.9015930891036987","5.5389","407.304","3.25","39.28808313066549","54.497833905793605","30.93220338983051","45.81908726313015","19.94","3100","0","0.3116","42004057894061950","1.0920927835279894","1667.7924","118.996","1.859","49.423758865248224","61.7047885526232"
"th_qcpg_0.8_llm_gec_aug_1.0","41.522005961774504","54.618646035104575","3069","-","finished","","2.2044131755828857","5.1064","441.794","3.525","43.24563342913995","56.07606796066041","34.91525423728814","49.03227368825049","20","5640","0","0.2336","76607636381752320","1.050790149607557","2923.5397","123.426","1.929","50.53191489361702","62.46740292109503"
"th_qcpg_0.8_llm_gec_aug_0.9","39.52305803962827","53.84363410742487","2884","-","finished","","2.2247838973999023","5.1236","440.313","3.513","41.101039133318594","55.30111509193982","33.47457627118644","48.25703538457775","20","5360","0","0.2468","72777679169894400","1.0644653619225346","2739.6727","125.124","1.956","51.2854609929078","62.16786623310408"
"th_qcpg_0.8_llm_gec_aug_0.8","39.92635455023672","53.54329082425685","2752","-","finished","","2.1119890213012695","5.1232","440.347","3.513","41.69798806102145","55.26694483367653","33.13559322033898","46.93643736272823","20","5080","0","0.2517","68947721958036480","1.1107536984240916","2601.5952","124.831","1.953","50.354609929078016","61.63791415903433"
"th_qcpg_0.8_llm_gec_aug_0.7","40.82062072593372","53.99837236852721","2605","-","finished","","2.0676472187042236","5.1181","440.791","3.517","42.604466062348","55.66667898294436","33.983050847457626","47.603668286317706","20","4800","0","0.2438","65117764746178560","1.0671143142382304","2463.5964","124.501","1.948","50.354609929078016","62.25904331524645"
"th_qcpg_0.8_llm_gec_aug_0.6","39.69840434858846","53.60920202613936","2464","-","finished","","2.1286489963531494","5.1392","438.981","3.503","41.233694450585894","55.19916274288205","33.813559322033896","47.51480175340566","20","4520","0","0.2574","61287807534320640","1.0932448277431253","2326.124","124.103","1.943","50.177304964539005","61.51322216346605"
"th_qcpg_0.8_llm_gec_aug_0.5","40.13677012098896","53.79824206784697","2320","-","finished","","1.994384765625","5.1454","438.451","3.498","41.74220650011055","55.41311823653116","33.983050847457626","47.60833960093419","19.95","4220","0","0.3077","57318791454737280","1.1202478002032965","2183.7479","123.925","1.932","50.75354609929078","62.45454349079984"
"th_qcpg_0.8_llm_gec_aug_0.4","40.78555146414168","53.85260483992772","2179","-","finished","","2.056347370147705","5.122","440.451","3.514","42.44970152553615","55.548296035307935","34.40677966101695","47.35293426645025","19.95","3940","0","0.2702","53490108064568450","1.1348234118543905","2044.3571","123.55","1.927","49.02482269503546","60.81648153644664"
"th_qcpg_0.8_llm_gec_aug_0.3","40.99596703489392","54.55461187980217","2040","-","finished","","1.8798319101333616","5.1214","440.503","3.515","42.427592305991595","56.07808080751321","35.50847457627118","48.7150780153653","19.95","3660","0","0.274","49661424674399620","1.1384821855305325","1905.8336","123.064","1.92","50.177304964539005","62.093691911041766"
"th_qcpg_0.8_llm_gec_aug_0.2","41.031036296685954","54.43473797029054","1899","-","finished","","1.8498293161392212","5.1227","440.391","3.514","43.02454123369445","56.095571153490305","33.389830508474574","48.06867992994219","19.94","3380","0","0.3023","45832741284230780","1.1790946689583142","1767.181","122.512","1.913","50.177304964539005","61.766258645169835"
"th_qcpg_0.8_llm_gec_aug_0.1","38.769068911099424","53.18110242152283","1764","-","finished","","1.794298768043518","5.1164","440.937","3.518","40.45987176652664","54.89206795409901","32.28813559322034","46.62288453691219","19.94","3100","0","0.2993","42004057894061950","1.1179069506737491","1630.5162","121.716","1.901","49.423758865248224","61.28019450357672"
"th_qcpg_0.8_aug_1.0","40.87322461862178","55.082222625587995","3024","-","finished","","2.1893091201782227","5.1171","440.871","3.518","42.27282776917975","56.45961683318973","35.50847457627118","49.802600590858155","20","5640","0","0.3048","76607636381752320","1.0994529927030523","2875.4967","125.488","1.961","50.709219858156025","62.67955542460534"
"th_qcpg_0.8_aug_0.9","40.31211642994915","54.09652898069225","2879","-","finished","","2.2043912410736084","5.1114","441.363","3.522","41.941189476011495","55.84124650601339","34.067796610169495","47.40893799168709","20","5360","0","0.2841","72777679169894400","1.0779070526806276","2735.8977","125.297","1.959","50","61.7217753238833"
"th_qcpg_0.8_aug_0.8","38.8392074346835","53.65714748926546","2738","-","finished","","2.23664927482605","5.1154","441.017","3.519","40.41565332743754","55.35359843663476","32.79661016949152","47.15456474778248","20","5080","0","0.2493","68947721958036480","1.1003258412278545","2597.5727","125.024","1.956","51.72872340425532","62.93933002866049"
"th_qcpg_0.8_aug_0.7","41.083640189374016","53.84896943877007","2599","-","finished","","2.1084954738616943","5.1179","440.807","3.517","42.6929029405262","55.39133127278576","34.91525423728814","47.93701810381112","20","4800","0","0.2611","65117764746178560","1.082823243935903","2460.1505","124.675","1.951","50.177304964539005","62.11302504540151"
"th_qcpg_0.8_aug_0.6","40.46992810801333","54.07860684111018","2484","-","finished","","2.076068162918091","5.1127","441.257","3.521","42.40548308644705","55.979649495179494","33.05084745762712","46.79181368487792","20","4520","0","0.2533","61287807534320640","1.0858021212890083","2347.7421","122.961","1.925","50.53191489361702","62.14844177396727"
"th_qcpg_0.8_aug_0.5","39.7334736103805","53.52306724935778","2318","-","finished","","2.08001971244812","5.1133","441.201","3.52","41.366349767853194","55.26229189887095","33.47457627118644","46.85653073262352","19.95","4220","0","0.2623","57318791454737280","1.0911545495851345","2177.9569","124.254","1.938","51.019503546099294","62.29724546996141"
"th_qcpg_0.8_aug_0.4","40.452393477117305","54.06194876294225","2182","-","finished","","1.890395998954773","5.116","440.966","3.518","42.427592305991595","56.017006406344855","32.88135593220339","46.568113406070616","19.95","3940","0","0.3073","53490108064568450","1.151207592765692","2041.96","123.695","1.93","49.645390070921984","61.8268586510139"
"th_qcpg_0.8_aug_0.3","36.64737857268104","51.599559259155185","2037","-","finished","","1.940618634223938","5.1153","441.033","3.519","38.116294494804336","53.319312708788345","31.016949152542377","45.00765684162208","19.95","3660","0","0.3326","49661424674399620","1.1529687923160408","1902.1635","123.302","1.924","47.783687943262414","59.841915279767306"
"th_qcpg_0.8_aug_0.2","40.75048220234964","54.25726471743789","1896","-","finished","","1.837939977645874","5.1203","440.601","3.515","42.44970152553615","56.03663730379242","34.23728813559322","47.43683911736991","19.94","3380","0","0.2927","45832741284230780","1.1296747354360728","1763.7014","122.753","1.916","49.11347517730496","60.98292075079469"
"th_qcpg_0.8_aug_0.1","39.29510783798001","53.43556899397902","1755","-","finished","","1.854871153831482","5.113","441.227","3.52","41.145257572407694","55.19147100136346","32.20338983050848","46.70510731652309","19.94","3100","0","0.2952","42004057894061950","1.1540326875255953","1625.4312","122.097","1.907","48.847517730496456","61.24817783670396"
"th_qcpg_0.5_llm_gec_aug_1.0","39.20743468349991","52.258787848301424","3005","-","finished","","2.307394504547119","5.1102","441.474","3.522","41.16736679195225","54.08105546983967","31.694915254237287","45.27394339727082","20","5640","0","0.3431","76607636381752320","1.211938694351954","2859.8974","126.172","1.972","49.645390070921984","61.2360424422377"
"th_qcpg_0.5_llm_gec_aug_0.9","38.68139575661933","53.05248227616665","2874","-","finished","","2.160224199295044","5.1075","441.7","3.524","40.26088879062569","54.64769338965897","32.6271186440678","46.93795696572237","20","5360","0","0.3387","72777679169894400","1.2327800380649852","2728.4683","125.638","1.964","49.60106382978723","61.51286848159177"
"th_qcpg_0.5_llm_gec_aug_0.8","39.10222689812379","52.67736131346575","2733","-","finished","","2.1501286029815674","5.1231","440.358","3.513","41.16736679195225","54.759529321358336","31.1864406779661","44.69630546626537","20","5080","0","0.4051","68947721958036480","1.3054452160211998","2591.1264","125.335","1.961","48.315602836879435","61.04138337066218"
"th_qcpg_0.5_llm_gec_aug_0.7","39.03208837453972","52.664353065937185","2596","-","finished","","2.1805949211120605","5.1246","440.23","3.512","40.61463630333849","54.31579229494537","32.96610169491525","46.33430252966384","20","4800","0","0.4039","65117764746178560","1.2627050002415976","2454.0737","124.984","1.956","49.645390070921984","60.85477322531456"
"th_qcpg_0.5_llm_gec_aug_0.6","39.80361213396458","53.28652549251227","2459","-","finished","","2.1100993156433105","5.1227","440.396","3.514","41.941189476011495","55.507279383627136","31.610169491525426","44.77426290818092","20","4520","0","0.3288","61287807534320640","1.1933754996915835","2318.9368","124.488","1.949","48.8918439716312","60.980133971585616"
"th_qcpg_0.5_llm_gec_aug_0.5","38.558653340347185","52.305740381054555","2311","-","finished","","2.0158536434173584","5.1146","441.087","3.519","40.41565332743754","54.34750241570754","31.440677966101696","44.479562683822294","19.95","4220","0","0.3283","57318791454737280","1.1948057924966675","2176.174","124.356","1.939","48.09397163120568","60.37547730308216"
"th_qcpg_0.5_llm_gec_aug_0.4","40.504997369805366","54.04773097309237","2174","-","finished","","2.043515205383301","5.1299","439.778","3.509","42.471810745080695","56.06170594597479","32.96610169491525","46.32806249652819","19.95","3940","0","0.3053","53490108064568450","1.1620286631705192","2039.2688","123.858","1.932","49.290780141843975","61.644279534247424"
"th_qcpg_0.5_llm_gec_aug_0.3","38.99701911274768","53.16410077103581","2037","-","finished","","1.8534283638000488","5.1242","440.268","3.513","40.70307318151669","54.88902631596923","32.45762711864407","46.55237344922896","19.95","3660","0","0.3591","49661424674399620","1.2658914169978577","1901.7861","123.326","1.925","50.22163120567376","61.770663383226015"
"th_qcpg_0.5_llm_gec_aug_0.2","39.189900052603896","52.95597420086017","1897","-","finished","","1.9289531707763672","5.1177","440.819","3.517","40.92416537696219","54.83108860065221","32.54237288135593","45.76856536165849","19.94","3380","0","0.3287","45832741284230780","1.186922217826166","1764.8223","122.675","1.915","48.8031914893617","60.732256765970824"
"th_qcpg_0.5_llm_gec_aug_0.1","37.33122917762581","52.498750194233814","1754","-","finished","","1.829999327659607","5.1166","440.918","3.518","39.02277249613088","54.355538740198945","30.847457627118644","45.38158528457371","19.94","3100","0","0.3146","42004057894061950","1.1554476793350712","1625.4201","122.098","1.907","49.423758865248224","61.28871969240541"
"th_qcpg_0.5_aug_1.0","39.61073119410836","53.27984005541485","3011","-","finished","","2.274449110031128","5.1169","440.889","3.518","41.56533274375415","55.01472739886809","32.11864406779661","46.629928653349225","20","5640","0","0.3083","76607636381752320","1.1829593347319474","2865.7286","125.916","1.968","49.68971631205674","61.245526523608554"
"th_qcpg_0.5_aug_0.9","37.944941258986496","52.41413989680807","2872","-","finished","","2.2317609786987305","5.1133","441.206","3.52","39.77448596064559","54.11153216909187","30.93220338983051","45.90794900906409","20","5360","0","0.3348","72777679169894400","1.1923244974506435","2728.7253","125.626","1.964","49.15780141843972","61.2495643726088"
"th_qcpg_0.5_aug_0.8","37.38383307031387","51.67019678153922","2732","-","finished","","2.2759451866149902","5.1071","441.741","3.525","38.86800795931904","53.15102284745474","31.694915254237287","45.99411517464598","20","5080","0","0.2872","68947721958036480","1.1563432303000625","2588.5927","125.458","1.962","48.8918439716312","60.835525659328844"
"th_qcpg_0.5_aug_0.7","40.11923549009293","53.4724373791587","2595","-","finished","","2.111384391784668","5.1058","441.851","3.525","41.720097280565994","54.98374529834942","33.983050847457626","47.67951727873675","20","4800","0","0.3177","65117764746178560","1.1897669490178426","2453.3392","125.021","1.957","49.645390070921984","61.112328242725674"
"th_qcpg_0.5_aug_0.6","38.733999649307385","52.90494090609299","2477","-","finished","","2.1134021282196045","5.1052","441.904","3.526","40.50409020561574","54.85701490368192","31.94915254237288","45.422542015336035","20","4520","0","0.313","61287807534320640","1.1918600487498054","2337.1237","123.519","1.934","49.955673758865245","61.052122997523526"
"th_qcpg_0.5_aug_0.5","38.1202875679467","52.54168617155021","2314","-","finished","","1.991658926010132","5.1042","441.992","3.527","39.99557815609109","54.461469767085575","30.93220338983051","45.18305803374941","19.95","4220","0","0.4041","57318791454737280","1.2189482901333633","2176.7207","124.325","1.939","48.847517730496456","60.71946783950076"
"th_qcpg_0.5_aug_0.4","38.78660354199544","53.61220810886523","2198","-","finished","","2.0160250663757324","5.1783","435.666","3.476","40.74729162060579","55.49476046775622","31.271186440677965","46.396289194236005","19.95","3940","0","0.4344","53490108064568450","1.2779340637516854","2062.8231","122.444","1.91","49.955673758865245","61.327890893745995"
"th_qcpg_0.5_aug_0.3","38.97948448185166","53.134610472203875","2026","-","finished","","1.896891951560974","5.1071","441.74","3.525","40.34932566880389","54.76642047717529","33.728813559322035","46.87979974975963","19.95","3660","0","0.3213","49661424674399620","1.166344623878354","1893.9439","123.837","1.932","49.02482269503546","61.22649660489935"
"th_qcpg_0.5_aug_0.2","39.08469226722777","53.603550078248254","1889","-","finished","","1.923831582069397","5.1034","442.057","3.527","40.63674552288304","55.20484581839022","33.13559322033898","47.46570208446815","19.94","3380","0","0.3043","45832741284230780","1.1711966723380005","1757.8547","123.161","1.923","49.955673758865245","61.395079423100185"
"th_qcpg_0.5_aug_0.1","38.6638611257233","53.19503638917991","1748","-","finished","","1.862087368965149","5.1108","441.422","3.522","40.06190581472474","54.719070730508186","33.30508474576271","47.353335265598474","19.94","3100","0","0.2918","42004057894061950","1.1960008165913243","1619.9006","122.514","1.914","49.512411347517734","61.99457239423985"
"th_qcpg_0.2_llm_gec_aug_1.0","40.22444327546905","53.68392187635623","3004","-","finished","","2.151963949203491","5.1093","441.551","3.523","42.18439089100155","55.46167702317717","32.71186440677966","46.86969600426337","20","5640","0","0.3479","76607636381752320","1.2102142022856583","2857.996","126.256","1.973","49.9113475177305","61.78694375405114"
"th_qcpg_0.2_llm_gec_aug_0.9","39.64580045590041","53.270392669789544","2866","-","finished","","2.1225738525390625","5.1153","441.026","3.519","41.38845898739775","55.042702483308645","32.96610169491525","46.47703903712421","20","5360","0","0.4318","72777679169894400","1.2819444983752806","2722.848","125.898","1.969","48.35992907801418","60.049362199706415"
"th_qcpg_0.2_llm_gec_aug_0.8","39.43538488514817","53.131966449983175","2727","-","finished","","2.244879961013794","5.1063","441.811","3.525","41.12314835286315","54.78014041183423","32.96610169491525","46.8144318487539","20","5080","0","0.3144","68947721958036480","1.2116380901787225","2583.9026","125.686","1.966","50.13297872340426","61.31155617968282"
"th_qcpg_0.2_llm_gec_aug_0.7","39.7334736103805","53.507503861697586","2586","-","finished","","2.110931634902954","5.1091","441.569","3.523","41.74220650011055","55.4320171346877","32.03389830508475","46.13074662972078","20","4800","0","0.3628","65117764746178560","1.2647745132446289","2445.0944","125.443","1.963","49.77836879432624","61.48574522635855"
